tweet_id,top_topic_1,top_topic_2,top_topic_3
11123,8,0,5
11415,2,4,9
13905,4,8,7
12734,7,9,8
11161,2,9,8
13125,4,1,5
13445,0,1,7
13852,6,1,2
11614,5,0,7
12649,1,3,4
11154,4,1,9
12561,0,2,8
11845,2,5,7
11106,1,2,4
13171,8,1,2
13521,4,1,2
12256,4,1,2
12011,7,6,4
12295,7,2,5
12116,4,7,8
11599,2,6,9
13007,4,6,7
12038,8,9,7
11794,7,2,1
11492,1,2,9
12036,3,4,1
11309,7,4,8
10989,8,4,0
11128,5,0,2
12784,8,9,7
12732,5,2,4
13459,1,9,8
10950,7,9,3
11635,4,2,5
12342,0,2,9
12825,4,1,9
11080,4,9,8
13290,7,8,1
13507,7,2,5
12578,1,9,8
13137,6,2,1
13066,1,4,6
11890,5,7,4
13182,7,8,6
11817,5,8,7
12033,7,0,9
13001,7,6,8
11331,7,2,9
13935,7,8,6
11152,1,7,9
12967,7,6,8
11005,4,2,7
11656,5,1,9
11550,1,8,2
11511,2,7,5
12586,1,9,4
11117,1,5,3
13283,7,9,8
13055,0,1,7
12801,1,0,2
11660,2,5,1
12792,4,1,5
11298,7,9,3
11279,2,9,8
12925,8,4,2
12355,1,4,8
12124,7,9,5
13720,4,0,3
11389,7,6,0
12463,1,8,7
12490,8,2,7
11570,1,2,9
12094,4,0,1
13819,4,0,5
12854,7,4,0
12370,7,5,9
12058,1,2,4
12243,7,4,9
13114,4,6,2
11268,7,0,2
12270,2,5,3
11505,2,9,8
12251,7,2,9
12805,4,5,9
11704,1,2,3
12548,7,2,5
11430,7,0,2
11983,1,3,4
11766,3,2,5
11593,4,1,9
12508,2,7,6
13002,0,4,7
13065,4,2,9
10958,8,1,6
12890,7,6,8
13764,2,5,4
13216,4,0,2
11133,3,2,5
13680,9,8,7
13495,7,9,2
13515,7,0,3
11186,4,9,8
12170,4,1,9
13098,4,9,8
12325,7,2,0
13892,1,7,0
12313,6,9,8
12269,4,1,8
11222,4,1,9
11481,5,0,3
12090,4,1,2
12420,2,1,4
11260,2,1,0
12161,3,1,5
13291,0,8,9
11695,2,5,8
12341,7,9,5
12672,1,8,7
13943,1,2,4
13172,4,2,9
13152,5,4,1
12458,0,7,5
12117,1,7,8
11935,0,5,2
13412,8,9,7
13361,5,6,7
13708,2,4,0
13379,0,4,3
12798,5,8,2
12695,4,1,0
11144,4,9,8
13072,7,5,2
11341,9,3,8
12696,1,2,4
12468,1,2,8
13148,7,8,1
12741,0,7,2
11090,4,1,2
11125,1,0,9
11997,7,0,2
12777,0,9,8
13688,4,5,0
13616,7,1,9
11449,1,9,8
13223,3,9,8
13260,4,5,8
11360,9,6,3
13040,4,7,6
12892,7,6,8
11518,5,9,8
13606,2,1,9
13566,4,1,5
12968,1,7,6
11236,1,9,8
12412,4,5,9
11379,5,2,1
12952,3,9,8
11762,5,8,0
11077,4,9,8
12917,2,5,3
13646,7,5,2
11574,2,5,1
11513,1,2,5
13641,7,5,2
13668,0,2,9
13406,5,7,9
12334,1,4,2
10967,1,8,2
11877,6,7,2
11129,1,7,9
13060,8,9,2
11334,2,9,5
13105,7,8,6
13911,8,3,9
12837,9,3,8
12775,4,1,8
13895,5,4,1
12461,1,7,8
13426,0,9,8
11044,2,5,0
12543,4,6,1
12419,1,9,8
13780,1,9,6
11136,2,9,8
13164,1,9,8
12872,2,9,1
12413,0,9,8
12743,0,3,4
11912,0,5,1
12885,7,6,8
13436,1,8,9
13559,4,0,1
10978,1,4,2
12749,3,1,5
12950,6,5,9
12535,0,2,1
11748,4,2,0
11485,7,2,5
13162,8,9,7
11390,5,7,1
13296,0,9,8
12645,4,1,5
13272,0,9,8
13373,7,4,1
13322,0,9,8
